file,ID,text,functional,Function,Behavior,Data,OnlyF,F,OnlyQ,Q,UserRelated
UC1.txt,UC1.txt.actor,initialization Agency Operator,0,0,1,0,0,1,0,0,0
UC1.txt,UC1.txt.description,Delete a cultural object in the system,0,1,1,1,0,1,0,0,0
UC1.txt,UC1.txt.flow_of_events.0,View the list of Cultural Heritage as a result of the use case Search Cultural Heritage it selects and activates a function of elimination,0,1,1,1,0,1,0,0,1
UC1.txt,UC1.txt.flow_of_events.1,Asks confirmation,0,1,1,0,0,1,0,0,1
UC1.txt,UC1.txt.flow_of_events.2,Confirm the operation,0,0,1,0,0,1,0,0,0
UC1.txt,UC1.txt.flow_of_events.3,Delete the cultural choice,0,1,1,1,0,1,0,0,0
UC1.txt,UC1.txt.name,Delete Cultural Heritage,0,1,1,1,0,1,0,0,0
UC1.txt,UC1.txt.postcondition,The system shall notify the successful elimination of the cultural Operator Agency cancels the operation Interruption of connection to the server ETOUR,0,0,1,0,0,1,0,0,1
UC1.txt,UC1.txt.precondition,The agency has logged,0,0,0,0,0,0,0,0,1
UC1.txt,UC1.txt.quality_requirement,The system requirements blocks of input controls on receipt of confirmation of cancellation to avoid multiple submissions before the end of the operation,0,0,1,0,0,1,0,0,0
UC2.txt,UC2.txt.actor,initialization Agency Operator,0,0,1,0,0,1,0,0,0
UC2.txt,UC2.txt.description,Inserts a new cultural object in the system,0,1,0,1,0,1,0,0,0
UC2.txt,UC2.txt.flow_of_events.0,Activate the feature for the insertion of a new cultural good,0,1,1,0,0,1,0,0,0
UC2.txt,UC2.txt.flow_of_events.1,Displays the corresponding form,0,0,1,0,0,1,0,0,0
UC2.txt,UC2.txt.flow_of_events.2,Fill out the form with the data of the cultural and submit,0,0,0,0,0,1,0,0,1
UC2.txt,UC2.txt.flow_of_events.3,Verify the data entered and asks for confirmation of the transaction,0,1,1,0,0,1,0,0,0
UC2.txt,UC2.txt.flow_of_events.4,Where the data is invalid or insufficient the system activates the use case Errored,0,1,1,0,0,1,0,0,0
UC2.txt,UC2.txt.flow_of_events.5,Confirm the operation,0,0,1,0,0,1,0,0,0
UC2.txt,UC2.txt.flow_of_events.6,Memorize your new cultural good,0,1,0,1,0,1,0,0,0
UC2.txt,UC2.txt.name,Insert Cultural Heritage,0,1,1,1,0,1,0,0,0
UC2.txt,UC2.txt.postcondition,The system shall notify the proper inclusion of the cultural Operator Agency cancels the operation Interruption of the connection to the server ETOUR,0,0,1,0,0,1,0,0,1
UC2.txt,UC2.txt.precondition,The agency has logged,0,0,0,0,0,0,0,0,1
UC2.txt,UC2.txt.quality_requirement,The system requirements will not accept duplicates cultural heritage,0,0,0,0,0,0,0,0,0
UC3.txt,UC3.txt.actor,initialization Agency Operator,0,0,1,0,0,1,0,0,0
UC3.txt,UC3.txt.description,Change data of a cultural object in the system,0,0,1,1,0,1,0,0,0
UC3.txt,UC3.txt.flow_of_events.0,View the list of cultural goods as a result of the use case Search Cultural Heritage it selects and activates a function of change,0,1,1,1,0,1,0,0,1
UC3.txt,UC3.txt.flow_of_events.1,Load the data of the cultural and displays the form for editing,0,1,1,1,0,1,0,0,0
UC3.txt,UC3.txt.flow_of_events.2,Change data in the form and submit,0,0,0,0,0,1,0,0,0
UC3.txt,UC3.txt.flow_of_events.3,Verify the data entered and asks for confirmation of the transaction,0,1,1,0,0,1,0,0,0
UC3.txt,UC3.txt.flow_of_events.4,Where the data is invalid or insufficient the system activates the use case Errored,0,1,1,0,0,1,0,0,0
UC3.txt,UC3.txt.flow_of_events.5,Confirm the operation,0,0,1,0,0,1,0,0,0
UC3.txt,UC3.txt.flow_of_events.6,Stores the modified data of the cultural,0,1,1,1,0,1,0,0,0
UC3.txt,UC3.txt.name,Modify Cultural Heritage,0,1,1,1,0,1,0,0,0
UC3.txt,UC3.txt.postcondition,The notification system has been changing the data of the cultural Operator Agency cancels the operation Interruption of the connection to the server ETOUR,0,0,1,1,0,1,0,0,1
UC3.txt,UC3.txt.precondition,The agency has logged,0,0,0,0,0,0,0,0,1
UC3.txt,UC3.txt.quality_requirement,The system requirements blocks of input controls in the form once we receive confirmation of the change to avoid multiple submissions before the end of the operation,0,0,1,0,0,1,0,0,0
UC4.txt,UC4.txt.description,Returns the list of cultural objects in the system according to certain parameters,0,1,1,1,0,1,0,0,0
UC4.txt,UC4.txt.flow_of_events.0,Activate the search functionality of a cultural object,0,1,1,1,0,1,0,0,0
UC4.txt,UC4.txt.flow_of_events.1,Show the form for research,0,1,1,0,0,1,0,0,0
UC4.txt,UC4.txt.flow_of_events.2,Fill in the search form and submit,0,0,0,0,0,1,0,0,1
UC4.txt,UC4.txt.flow_of_events.3,Processing the request,0,1,1,0,0,1,0,0,0
UC4.txt,UC4.txt.name,Search Cultural Heritage,0,1,1,1,0,1,0,0,0
UC4.txt,UC4.txt.postcondition,The system returns a list of cultural goods that meet the search criteria Interruption of the connection to the server ETOUR,0,0,1,1,0,1,0,0,0
