file,ID,text
F-SOG-06.txt,F-SOG-06.txt.name,Gestione del cambio di stanza
F-SOG-06.txt,F-SOG-06.txt.description,Nel caso in cui il cliente desideri o sia costretto es per un guasto a cambiare stanza di soggiorno il sistema dovr fornire tutti gli strumenti necessari affinch ci sia possibile
F-SOG-06.txt,F-SOG-06.txt.precondition,Numero di stanza da lasciare numero della nuova stanza da occupare
F-SOG-06.txt,F-SOG-06.txt.postcondition,Modifica dell informazione che indicava la stanza che occupavano i clienti con il nuovo dato modifica dello status delle stanze
F-SOG-06.txt,F-SOG-06.txt.quality_requirement,Quando viene accolta una richiesta di cambio di stanza si dovr poter verificare che i dati degli occupanti non si riferiscono pi alla stanza in precedenza occupata ma alla nuova stanza in cui soggiornano Il cambiamento di stanza coinvolger lo stato delle stanze modificandolo opportunamente Aspettative collegate Permettere un eventuale spostamento di stanza Requisiti collegati nn
F-GES-04.txt,F-GES-04.txt.name,Configurazione delle opzioni di sistema
F-GES-04.txt,F-GES-04.txt.description,Alcuni parametri e dati che il sistema utilizza per svolgere le attivit per cui stato realizzato devono poter essere impostate dal gestore dell ' albergo Dovr essere prevista perci la possibilit di configurare il sistema in base alle esigenze dell ' utente Ci che dovr sicuramente comparire sono le seguenti impostazioni date di inizio e fine delle varie stagionalit sconti e riduzioni da effettuare a neonati e bambini durata massima per la quale una stanza pu restare bloccata supplemento per le varie stagionalit costo di uno scatto telefonico
F-GES-04.txt,F-GES-04.txt.precondition,I dati di configurazione con le modifiche ritenute opportune dal gestore
F-GES-04.txt,F-GES-04.txt.postcondition,Aggiornamento configurazione di sistema
F-GES-04.txt,F-GES-04.txt.quality_requirement,I dati dovranno influire sulla gestione dell ' albergo in base all ' area di competenza Es se viene previsto uno sconto per i bambini tale sconto dovr apparire chiaramente nel calcolo del conto finale e nella sua stampa Aspettative collegate Permettere una maggiore flessibilit al sistema Requisiti collegati F- PRE- F- SOG- F- SOG- F- GES-
F-GES-02.txt,F-GES-02.txt.name,Gestione dei prezzi dei servizi e spese extra
F-GES-02.txt,F-GES-02.txt.description,Il sistema metter a disposizione dell ' utente le funzionalit necessarie alla gestione del listino prezzi dei servizi extra Dovr quindi essere possibile visualizzare il listino apportare delle modifiche ai prezzi e inserire nuove voci Verr anche prevista un campo jolly '' per gestire eventuali voci rare per le quali non conveniente prevedere una gestione specifica
F-GES-02.txt,F-GES-02.txt.precondition,Dati del bene o servizio che si intende modificare
F-GES-02.txt,F-GES-02.txt.postcondition,Conferma della modifica effettuata e listino completo
F-GES-02.txt,F-GES-02.txt.quality_requirement,Si deve poter inserire il codice del servizio di cui si intende modificare il prezzo Il sistema ritorner errore nel caso in cui nessuna corrispondenza sia verificata altrimenti restituir i dati relativi al servizio e la possibilit di modificarne il prezzo Aspettative collegate Supervisione e gestione dei prezzi dei servizi offerti Requisiti collegati F- SOG-
F-PRE-03.txt,F-PRE-03.txt.name,Gestione delle camere bloccate
F-PRE-03.txt,F-PRE-03.txt.description,Se al momento della prenotazione una stanza viene bloccata tale stanza rimarr in quello stato per un certo periodo di tempo fissato vedi F- GES- dalla gestione dell ' albergo Trascorso tale periodo verr inviato un messaggio che faccia comprendere che la stanza bloccata da troppo tempo in modo che ci si possa informare se il ritardo dovuto a un contrattempo del cliente oppure se egli non intende pi soggiornare nell ' albergo Nel primo caso si provveder a rinnovare il bloccaggio della stanza mentre nel secondo a cancellare la prenotazione Una volta arrivata la caparra del cliente deve essere possibile passare la stanza da bloccata ad assegnata
F-PRE-03.txt,F-PRE-03.txt.precondition,Situazione delle stanze
F-PRE-03.txt,F-PRE-03.txt.postcondition,Situazione aggiornata delle stanze
F-PRE-03.txt,F-PRE-03.txt.quality_requirement,Trascorso il numero di giorni fissati dall ' albergatore a partire dal giorno della prenotazione il sistema dovr garantire che una stanza bloccata sia passata a stato di assegnata venga visualizzato un messaggio che avvisi della situazione di ritardo di pagamento della caparra Aspettative collegate L albergatore si aspetta di poter tenere sotto controllo la situazione delle stanze bloccate in modo tale che una camera non rimanga troppo a lungo in tale stato rischiando di far perdere altri potenziali clienti all albergo Requisiti collegati F- PRE- F- GES-
F-SOG-04.txt,F-SOG-04.txt.name,Calcolo del conto complessivo
