file,ID,text
UC31.txt,UC31.txt.name,Modify Password
UC31.txt,UC31.txt.description,The Agency Operator chooses to change the password associated with your account
UC31.txt,UC31.txt.actor,initialization Agency Operator
UC31.txt,UC31.txt.precondition,The agency has logged
UC31.txt,UC31.txt.postcondition,The system confirms the success of Operation Interruption of the connection to the server
UC31.txt,UC31.txt.flow_of_events.0,Choose to change your password by pressing the appropriate Button
UC31.txt,UC31.txt.flow_of_events.1,Upload the form to change the password associated with that work agency Change your password by entering the new choice and confirming Save your changes
UC43.txt,UC43.txt.name,Modify Refreshment Point
UC43.txt,UC43.txt.description,Change data point associated refreshment
UC43.txt,UC43.txt.actor,initialization Operator Point Of Restaurants
UC43.txt,UC43.txt.precondition,The Point Restaurant Operator has successfully authenticated to the system
UC43.txt,UC43.txt.postcondition,The notification system has been changing the data point selected restaurants Restaurant Point Of Operator cancels the operation Interruption of the connection to the server ETOUR
UC43.txt,UC43.txt.flow_of_events.0,Enable the functionality of the information required by the point of rest
UC43.txt,UC43.txt.flow_of_events.1,Upload data point Refreshments and displays them in a form
UC43.txt,UC43.txt.flow_of_events.2,Change data in the form and submit
UC43.txt,UC43.txt.flow_of_events.3,Verify the data entered and asks for confirmation of the change
UC43.txt,UC43.txt.flow_of_events.4,Where the data is invalid or insufficient the system activates the use case Errored
UC43.txt,UC43.txt.flow_of_events.5,Confirm the operation
UC43.txt,UC43.txt.flow_of_events.6,Stores the modified data of the point of rest
UC34.txt,UC34.txt.name,SEARCH
UC34.txt,UC34.txt.description,Research and cultural heritage for all
UC34.txt,UC34.txt.actor,initialized by Guest User
UC34.txt,UC34.txt.precondition,Guest User logs on
UC34.txt,UC34.txt.postcondition,The system displays a list of sites that meet the search criteria Interruption of the connection to the server ETOUR
UC34.txt,UC34.txt.flow_of_events.0,Activate the search functionality
UC34.txt,UC34.txt.flow_of_events.1,Displays the corresponding form
UC34.txt,UC34.txt.flow_of_events.2,Fill out the form and submit
UC34.txt,UC34.txt.flow_of_events.3,Gets the position of the Guest citing the case of use location and process research
UC51.txt,UC51.txt.name,Insert Preference Site
UC51.txt,UC51.txt.description,Inserts a site selected in the list of bookmarks
UC51.txt,UC51.txt.actor,initialized by Tourist
UC51.txt,UC51.txt.precondition,The tourist card is in a particular site
UC51.txt,UC51.txt.postcondition,The notification about the insertion site to favorites Interruption of connection to the server ETOUR
UC51.txt,UC51.txt.flow_of_events.0,Activate the feature for the insertion of the selected site from the bookmarks
UC51.txt,UC51.txt.flow_of_events.1,Prompt the inclusion Confirm the input
UC51.txt,UC51.txt.flow_of_events.2,Inserts the selected site in the list of bookmarks
UC1.txt,UC1.txt.name,Delete Cultural Heritage
UC1.txt,UC1.txt.description,Delete a cultural object in the system
UC1.txt,UC1.txt.actor,initialization Agency Operator
UC1.txt,UC1.txt.precondition,The agency has logged
UC1.txt,UC1.txt.postcondition,The system shall notify the successful elimination of the cultural Operator Agency cancels the operation Interruption of connection to the server ETOUR
UC1.txt,UC1.txt.quality_requirement,The system requirements blocks of input controls on receipt of confirmation of cancellation to avoid multiple submissions before the end of the operation
UC1.txt,UC1.txt.flow_of_events.0,View the list of Cultural Heritage as a result of the use case Search Cultural Heritage it selects and activates a function of elimination
UC1.txt,UC1.txt.flow_of_events.1,Asks confirmation
UC1.txt,UC1.txt.flow_of_events.2,Confirm the operation
UC1.txt,UC1.txt.flow_of_events.3,Delete the cultural choice
UC15.txt,UC15.txt.name,Modify Tourist Account Data
UC15.txt,UC15.txt.description,Change data of a selected account Tourist
UC15.txt,UC15.txt.actor,initialization Agency Operator
UC15.txt,UC15.txt.precondition,The agency has logged
UC15.txt,UC15.txt.postcondition,The system has been reporting the information required by the selected account Tourist Interruption of the connection to the server ETOUR
UC15.txt,UC15.txt.flow_of_events.0,Tourists from the list obtained by activating the use case Search Tourist it selects and activates a function to modify data
UC15.txt,UC15.txt.flow_of_events.1,Loads the data selected and displays them in a form allowing the change
UC15.txt,UC15.txt.flow_of_events.2,Edit the fields in the form and submit
UC15.txt,UC15.txt.flow_of_events.3,Verify the information and asks for confirmation of the change
UC15.txt,UC15.txt.flow_of_events.4,Where the data is invalid or insufficient the system activates the use case Errored
UC15.txt,UC15.txt.flow_of_events.5,Confirm the operation
UC15.txt,UC15.txt.flow_of_events.6,Stores the modified data selected account
UC4.txt,UC4.txt.name,Search Cultural Heritage
UC4.txt,UC4.txt.description,Returns the list of cultural objects in the system according to certain parameters
UC4.txt,UC4.txt.postcondition,The system returns a list of cultural goods that meet the search criteria Interruption of the connection to the server ETOUR
UC4.txt,UC4.txt.quality_requirement,The system requirements should return the results within a set time
UC4.txt,UC4.txt.flow_of_events.0,Activate the search functionality of a cultural object
UC4.txt,UC4.txt.flow_of_events.1,Show the form for research
UC4.txt,UC4.txt.flow_of_events.2,Fill in the search form and submit
UC4.txt,UC4.txt.flow_of_events.3,Processing the request
UC25.txt,UC25.txt.name,View Report Statistic
UC25.txt,UC25.txt.description,View statistical report relating to a selected location
UC25.txt,UC25.txt.actor,initialization Agency Operator
UC25.txt,UC25.txt.precondition,The agency has logged
UC25.txt,UC25.txt.postcondition,The system displays the statistical report for the selected location Interruption of the connection to the server
UC25.txt,UC25.txt.flow_of_events.0,Activate the feature on the statistical report
UC25.txt,UC25.txt.flow_of_events.1,Upload the list of places in the system and displays them in a form
UC25.txt,UC25.txt.flow_of_events.2,Select a location and submit the form
UC25.txt,UC25.txt.flow_of_events.3,Upload midsize site feedback obtained by activating the Search Site use case for the location selected
UC25.txt,UC25.txt.flow_of_events.4,Prepare the statistical report
UC41.txt,UC41.txt.name,Modify Menu
UC41.txt,UC41.txt.description,Change the daily menu of a restaurant
UC41.txt,UC41.txt.actor,initialization Operator Point Of Restaurants
UC41.txt,UC41.txt.precondition,The Point Of Restaurant Operator has successfully authenticated to the system
UC41.txt,UC41.txt.postcondition,The system shall notify the successful modification of the menu Restaurant Point Of Operator cancels the operation Interruption of the connection to the server ETOUR
UC41.txt,UC41.txt.flow_of_events.0,Activate the editing functionality of the menu
UC41.txt,UC41.txt.flow_of_events.1,Displays a form with seven days of the week
UC41.txt,UC41.txt.flow_of_events.2,Select a day of the week and submit the form
UC41.txt,UC41.txt.flow_of_events.3,Upload the data menu for the selected day and loads them into a form
UC41.txt,UC41.txt.flow_of_events.4,Edit menu of the selected day and submit the form
UC41.txt,UC41.txt.flow_of_events.5,Verify the data entered and asks for confirmation of the edit menu
UC41.txt,UC41.txt.flow_of_events.6,Where the data are insufficient or invalid the active use case Errored
UC41.txt,UC41.txt.flow_of_events.7,Confirm the operation
UC41.txt,UC41.txt.flow_of_events.8,Saves changes to the menu selected
UC57.txt,UC57.txt.name,Advanced Search
UC57.txt,UC57.txt.description,The tourist searching for a site using the potential offered by the Advanced Search
UC57.txt,UC57.txt.actor,initialized by Tourist
UC57.txt,UC57.txt.precondition,The Tourist has successfully authenticated to the system
UC57.txt,UC57.txt.postcondition,The system displays a list of results Interruption of the connection to the server ETOUR
UC57.txt,UC57.txt.quality_requirement,The system requirements into the transaction in more than seconds
UC57.txt,UC57.txt.flow_of_events.0,Enable the advanced search feature from your personal area
UC57.txt,UC57.txt.flow_of_events.1,View the advanced search form
UC57.txt,UC57.txt.flow_of_events.2,Fill in the form of advanced search and submit
UC57.txt,UC57.txt.flow_of_events.3,Gets the position of relying on the tourist event of the use location and process the request
UC2.txt,UC2.txt.name,Insert Cultural Heritage
UC2.txt,UC2.txt.description,Inserts a new cultural object in the system
UC2.txt,UC2.txt.actor,initialization Agency Operator
UC2.txt,UC2.txt.precondition,The agency has logged
UC2.txt,UC2.txt.postcondition,The system shall notify the proper inclusion of the cultural Operator Agency cancels the operation Interruption of the connection to the server ETOUR
